unitId,name,rarity,role,finalScore,statsScore,skill1Score,skill2Score,kitSynergyScore,tags
42,"SuperPG, Le Bastion de Braise",epic,tank,36.96056129032258,51.3075,86.90177419354838,0,0,damage|sustain
43,"Crimness, Le Traqueur Cendré",epic,ranged,34.2067644069479,59.95884615384616,63.91649032258064,0,4,damage
44,"Dango, Le Seigneur des Ours",rare,support,17.209545186813187,38.86423076923077,24.336771428571428,0,0,sustain
45,"Cuttie, La Pyromancienne",rare,ranged,34.387096532009934,54.293076923076924,73.78859612903227,0,0,damage
46,"Lyly, La Danseflamme",rare,support,2763.892801131514,38.86423076923077,10577.73390967742,0,14,sustain|tempo
47,"Waboku, Le Protecteur du Grimoire Ardent",epic,ranged,25.202459643076928,59.95884615384616,0,32.361472,0,tempo
48,"Dolo, La Flamme Absolue",common,assassin,26.058377760794052,46.48365384615385,50.165210322580656,0,0,damage|sustain
49,"Andross, Le Braisiériste",epic,support,25.693045434389145,47.77519230769231,36.599967647058826,0,14,sustain|utility
50,"Spiky, Sylphe Astrale",common,assassin,26.174997322084373,46.48365384615385,50.6137470967742,0,0,damage|sustain
51,"Xeu, La Prêtresse du Feu",common,support,23.85580055384616,30.892307692307696,58.484440000000006,0,0,sustain
52,"Banga, Le Rempart Infernal",mythic,tank,24.990718906537357,67.30480769230769,0,21.32835674112,3,sustain
53,"Mymy, L'Aube Flamboyante",common,support,23.291876605459063,30.892307692307696,45.54627096774194,0,14,sustain|tempo
54,"Hixxy, Le Titan Volcanique",epic,tank,26.649763705882357,51.3075,38.01409117647059,0,12,utility|sustain
58,"Nashi, La Lame Incandescante",legendary,assassin,37.92925342419454,66.76980769230771,68.59118180903225,0,7,sustain|damage
59,"JB, Le Dévastateur Magmatique",uncommon,tank,13.865611910669974,39.997692307692304,10.254838709677419,0,0,sustain
60,"Minipoucce, Le Chevaucheur",epic,assassin,37.87542629081886,60.246346153846154,75.40942064516129,0,7,utility|sustain|damage
61,"Cladie, La Cartomancienne Brûlante",uncommon,support,17.927047149321268,32.565769230769234,33.87935294117647,0,0,sustain
62,"Skirrela, Le Cœur du Volcan",uncommon,ranged,27.006386437717126,49.252307692307696,50.82977032258066,0,0,damage|sustain
63,"Sama, La Flamme Eternelle",legendary,ranged,37.08174548054299,67.10538461538462,67.27783764705885,0,4,damage
64,"Leno, La Braise Eternelle",epic,support,27.18732908939709,47.77519230769231,53.11644324324323,0,0,sustain
65,"Sushi, La Princesse Volcanique",uncommon,ranged,26.83360083771713,49.252307692307696,50.165210322580656,0,0,sustain|damage
69,"Alpha, L'Arme Incandescante",mythic,assassin,44.6275580942928,73.29326923076923,87.32862580645161,0,7,utility|sustain|damage
70,"Matux, L'Oracle des Flammes",legendary,support,54.235597601809964,61.29961538461539,129.50655882352942,0,17,tempo|sustain
71,"Melyre, Le Colosse Ardent",rare,assassin,26.38296910769231,54.99211538461539,42.25068,0,0,damage|sustain
72,"Asman, La Reine Volcanique",legendary,support,30.4905569841629,61.29961538461539,48.94871029411764,0,3,sustain
73,"Flamingo, L'Incandescent",mythic,ranged,41.479896838009054,75.20192307692308,75.47445529411765,0,4,damage
74,"Francky, L'Ancien des Flammes",legendary,tank,25.720618745989533,59.306153846153855,0,32.749598727178665,3,sustain
75,"OrRiz, Le Monolithe Enflammé",rare,tank,22.634592923076923,45.183846153846154,38.3966,0,0,sustain
76,"Klinx, Le Héros du Feu",rare,tank,37.9832442133995,45.183846153846154,97.42987419354837,0,0,damage|sustain
77,"Arkana, Le Druide Calciné",rare,tank,22.407703923076923,45.183846153846154,37.52395,0,0,sustain
78,"Wendigo, Traqueuse du Volcan",rare,ranged,31.076041822332513,54.293076923076924,61.053770322580654,0,0,sustain|damage
79,"Warza, Le Guerrier Ardent",rare,assassin,30.774924454608442,54.99211538461539,59.14281594967743,0,0,sustain|damage
80,"Emo, La Duelliste Explosive",rare,assassin,31.855626243176182,54.99211538461539,63.29936129032258,0,0,sustain|damage
81,"Eggman, Le Penseur Malicieux",epic,support,36.13668982850679,47.77519230769231,87.53706147058824,0,0,sustain
82,VelNewt Archidruide,rare,tank,32.5032812133995,43.308846153846154,78.37232419354835,0,0,sustain|damage
83,Bilvoc Le Rouge,common,ranged,26.274507063424323,45.46153846153847,52.09721651612903,0,0,damage|sustain
84,"Nanny, L'Impératrice du Brasier",common,ranged,25.77218545310174,45.46153846153847,50.165210322580656,0,0,sustain|damage
85,"DameSo, La Gardienne du Volcan",uncommon,support,14.290149943438916,32.565769230769234,19.891286764705878,0,0,utility
86,"Thowas, Le Brasier Sacré",uncommon,tank,18.510441413721413,39.997692307692304,28.119567567567564,0,0,sustain
87,"Sioux, L'Oracle Infernale",uncommon,support,15.52469303167421,32.565769230769234,24.63952941176471,0,0,utility
88,"Raph, Le Seigneur des Flammes",uncommon,tank,13.707607409230771,35.08653846153847,0,14.936064,0,utility
89,Quadehar Le Brûlant,common,assassin,15.67366307692308,46.48365384615385,10.224000000000002,0,0,sustain
90,"Isaki, Le Protecteur du Feu",common,ranged,29.187064704714643,45.46153846153847,63.29936129032258,0,0,damage|sustain
91,Peohina La Destructrice,uncommon,support,13.883084384615387,32.565769230769234,18.32565,0,0,sustain
92,"Aurel, Le Fourbe",uncommon,assassin,23.727687692307697,50.23788461538462,37.158,0,0,sustain
93,"Hachi, La Huitième Gardienne",uncommon,ranged,27.887507248039704,49.252307692307696,54.21869651612902,0,0,sustain|damage
94,"Kaleiya, La Pyroclaste",uncommon,ranged,28.000482448039705,49.252307692307696,54.65321651612903,0,0,sustain|damage
95,"Raki, L'Eveilleur des Ardeurs",uncommon,assassin,23.26021607940447,50.23788461538462,35.360032258064514,0,0,sustain
